REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017/2018,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,3,,,,0
2018/2019,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,3,,,,0
2020/2021,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,3,,,,0
2021/2022,"Atlantic School of Theology, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439564291,11.1.1.1.1.2.3.1,0,,,,0
2011/2012,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,597,,,,0
2012/2013,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,690,,,,0
2013/2014,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,720,,,,0
2014/2015,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,711,,,,0
2015/2016,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,693,,,,0
2016/2017,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,645,,,,0
2017/2018,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,756,,,,0
2018/2019,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,1311,,,,0
2019/2020,"Cape Breton University, Nova Scotia",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,International students,"Total, gender",Number,223,units,0,v1439566178,12.1.1.1.1.2.3.1,2412,,,,0
