"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013/2014","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","6039","","","","0"
"2014/2015","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","6471","","","","0"
"2015/2016","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","6813","","","","0"
"2016/2017","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","7365","","","","0"
"2017/2018","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","7677","","","","0"
"2018/2019","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","9174","","","","0"
"2019/2020","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","11079","","","","0"
"2020/2021","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","10329","","","","0"
"2021/2022","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","9891","","","","0"
"2022/2023","Nova Scotia","2021A000212","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609000629","9.1.1.1.1.2.3.1","11805","","","","0"
"2009/2010","Acadia University, Nova Scotia","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609158565","10.1.1.1.1.2.3.1","372","","","","0"
"2010/2011","Acadia University, Nova Scotia","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609158565","10.1.1.1.1.2.3.1","360","","","","0"
"2011/2012","Acadia University, Nova Scotia","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1609158565","10.1.1.1.1.2.3.1","372","","","","0"
