REF_DATE,GEO,DGUID,Field of study,Program type,Credential type,Institution type,Registration status,Status of student in Canada,Gender,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015/2016,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,828,,,,0
2016/2017,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,810,,,,0
2017/2018,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,729,,,,0
2018/2019,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,831,,,,0
2019/2020,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,894,,,,0
2020/2021,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,825,,,,0
2021/2022,"Collège TAV, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441414200,123.1.1.1.1.2.2.1,819,,,,0
2011/2012,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,84,,,,0
2012/2013,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,171,,,,0
2013/2014,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,192,,,,0
2014/2015,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,225,,,,0
2015/2016,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,222,,,,0
2016/2017,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,246,,,,0
2017/2018,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,282,,,,0
2018/2019,"Collégial international Sainte-Anne, Quebec",,"Total, field of study","Total, program type","Total, credential type","Total, institution type ",Full-time student,Canadian students,"Total, gender",Number,223,units,0,v1441419490,124.1.1.1.1.2.2.1,276,,,,0
