"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016/2017","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","2979","","","","0"
"2017/2018","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3063","","","","0"
"2018/2019","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","2961","","","","0"
"2019/2020","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","2994","","","","0"
"2020/2021","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3159","","","","0"
"2021/2022","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3339","","","","0"
"2022/2023","University of Prince Edward Island, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608933023","6.1.1.1.1.2.2.1","3372","","","","0"
"2009/2010","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1521","","","","0"
"2010/2011","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1638","","","","0"
"2011/2012","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1929","","","","0"
"2012/2013","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1926","","","","0"
"2013/2014","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1599","","","","0"
"2014/2015","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1935","","","","0"
"2015/2016","Holland College, Prince Edward Island","","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1608970917","7.1.1.1.1.2.2.1","1980","","","","0"
